Starship Velociraptor  Galactikraken
Great Day  The Lonely Island
I Just Had Sex (Explicit)  The Lonely Island
Spanish Train  Chris de Burgh
Piano Man  Billy Joel
Fast Car  Tracy Chapman
Cool Guys Don't Look At Explosions  The Lonely Island
I Saw Mommy Kissing Santa Claus  Saturday Night Live
Corporate Nightmare Song  Saturday Night Live
Party Song  Saturday Night Live
RASEN in OKINAWA  Awich
Ode To Billie Joe  Bobbie Gentry
Sometimes I'm Alone (Lonely Cat)  The Kiffness
直播带货 ft. 法老 Pharaoh  AR刘夫阳
We're Both In Love with a Sexy Lady  Flight of the Conchords
Decoration Day  Drive-By Truckers
The Night the Lights Went out in Georgia  Vicki Lawrence
Black Velvet by Alannah Myles  Alannah Myles
A Day In The Life  The Beatles
Hallowed Be Thy Name (2015 Remaster)  Iron Maiden
Like a Rolling Stone  Bob Dylan
Johnny B. Goode  Chuck Berry
All Along The Watchtower  Jimi Hendrix
Wreck Of The Edmund Fitzgerald  Gordon Lightfoot
El Paso  Marty Robbins
Long Black Veil  Lefty Frizzell
Children's Story  Slick Rick
Father And Son (Remastered 2020)  Yusuf/Cat Stevens
Puppy And A Truck  Jenny Lewis
上海的那头  Rainbow Chamber Singers | 上海彩虹室内合唱团
Neurotology  Saturday Night Live
Dance of Death  Iron Maiden
Sultans of Swing  Dire Straits
Tunnel of Love  Dire Straits
Brothers in Arms  Dire Straits
The Hanging Song  Fairport Convention
Crazy Man Michael  Fairport Convention
Taxi  Harry Chapin
Sequel  Harry Chapin
Scenes from an Italian Restaurant  Billy Joel
Ballad of Billy the Kid  Billy Joel
The Entertainer  Billy Joel
Allentown  Billy Joel
The Downeaster Alexa  Billy Joel
Leningrad  Billy Joel
Movin’ Out  Billy Joel
Goodnight Saigon  Billy Joel
Small Bump  Ed Sheeran
Whiskey Lullaby  Brad Paisley
High Life  Brad Paisley
Me and My Uncle  Dino Valenti
He Ain’t Heavy, He’s My Brother  The Hollies
How to make gravy  Paul Kelly
Bradman  Paul Kelly
Dumb Things  Paul Kelly
Live Oak  Jason Isbell
Elephant  Jason Isbell
Children of Children  Jason Isbell
Airheart  Steam Powered Giraffe
Captain Albert Alexander  Steam Powered Giraffe
Embarrassment  Madness
Don’t You Want Me?  Human League
The Mayor of Candor Lied  Harry Chapin
Six O'clock News  Kate Edwards
Riding to New York  Passenger
The Butcher And Fast Eddie  Rose Tattoo
New York Mining Disaster  Bee Gees
7 years  Lukas Graham
Sister Ray  Velvet Underground
Rocky Road To Dublin  The Dubliners
Joe's Garage  Frank Zappa
30,000 Pound of Bananas  Harry Chapin
Big Bad John  Jimmy Dean
Battle of New Orleans  Johnny Horton
Copperhead Road  Steve Earl
Rasputin  Boney M.
Sixteen Tons  Tennessee Ernie Ford
Sympathy for the Devil  Rolling Stones
Janie's Got a Gun  Aerosmith
Lost In the Flood  Bruce Springsteen
Billie's Got a Gun  Def Leppard
Grandmaster Flash  The Message
The Art of Peer Pressure  Kendrick Lamar
03' Adolescence  J. Cole
Love's Gonna Get'cha  KRS-One
Fancy  Bobbi Gentry
Paradise By The Dashboard Light  Meatloaf
Strawberry Wine  Deana Carter
Jeremy  Pearl Jam
Blown Away  Carrie Underwood
Nantucket Sleighride  Mountain
A Better Place to Be  Harry Chapin
Corey's Coming  Harry Chapin
Ohio  Crosby, Stills, & Nash
One Piece at a Time  Johnny Cash
Barrett's Privateers  Stan Rogers
Driving the Last Spike  Genesis
Morphine Child  Savatage
18 and Life  Skid Row
American Idiot  Green Day
21st Century Breakdown  Green Day
Turn the Page  Bob Seger
Lucky Man  Emerson, Lake & Palmer
Operator  Jim Croce
Uneasy Rider  Charlie Daniels Band
I Wish You Were Here  Pink Floyd
Operation: Mindcrime  Queensryche
Telegraph Road  Dire Straits
The Weight  The Band
The Night They Drove Old Dixie Down  The Band
Shooting Star  Bad Company
Roads to Moscow  Al Stewart
Dust and Diamond  Joan Baez
Teddy Bear  Red Sovine
Streets Of Philadelphia  Bruce Springsteen
King Park  La Dispute
The Way  Fastball
The Killing of Georgie (Part I and II)  Rod Stewart
Sisters of Mercy  Leonard Cohen
He Stopped Loving Her Today  George Jones
The River  Bruce Springsteen
Alexander The Great  Iron Maiden
Jesus of Suburbia  Green Day
Homecoming  Green Day
